Election Year,Position,Name,Votes,Votes %,Party,AC name,AC No
2010,8,Kranti Prakash,2201,1.90%,Independent,Aurai,89
2010,9,Md. Samshed,1959,1.70%,Samajwadi Janata Party (RASHTRIYA),Aurai,89
2010,10,Narendra Kumar,1656,1.40%,Independent,Aurai,89
2010,11,Suleman Khan,1549,1.30%,Bahujan Samaj Party,Aurai,89
2010,12,Vinay Kumar,1405,1.20%,Vanchitsamaj Insaaf Party,Aurai,89
2010,13,Ram Babu Sharma,1211,1.00%,Ambedkar National Congress,Aurai,89
2010,14,Mojammil Husain,1128,1.00%,Smast Bhartiya Party,Aurai,89
2010,15,Durga Devi,1062,0.90%,Janvadi Party (Socialist),Aurai,89
2010,16,Md. Parwez Hashmi,782,0.70%,Loktantrik Sarvjan Samaj Party,Aurai,89
2010,1,Dinesh Prasad,42286,34.10%,Janata Dal (United),Minapur,90
2010,2,Rajeev Kumar Urph Munnayadav,36884,29.70%,Rashtriya Janata Dal,Minapur,90
2010,3,Shakal Deo Sahni,15346,12.40%,Indian National Congress,Minapur,90
2010,4,Ranjan Kumar Singh,6766,5.50%,Bahujan Samaj Party,Minapur,90
2010,5,Madhavi Chandra,4898,4.00%,Independent,Minapur,90
2010,6,Jai Narayan Prasad,4156,3.40%,Communist Party Of India,Minapur,90
2010,7,Bipat Sahni,2906,2.30%,Independent,Minapur,90
2010,8,Jaimangal Choudhary,2352,1.90%,Nationalist Congress Party,Minapur,90
2010,9,Ram Udesh Rai,2298,1.90%,Janata Dal (Secular),Minapur,90
2010,10,Gopalprasad,1687,1.40%,Independent,Minapur,90
2010,11,Nantun Paswan,1590,1.30%,Independent,Minapur,90
2010,12,Jitendra Prasad,1069,0.90%,Independent,Minapur,90
2010,13,Shankar Yadav,978,0.80%,Rashtriya Pragati Party,Minapur,90
2010,14,Love Kumar,918,0.70%,Samajwadi Party,Minapur,90
2010,1,Ramai Ram,61885,50.60%,Janata Dal (United),Bochaha,91
2010,2,Musafir Paswan,37758,30.90%,Rashtriya Janata Dal,Bochaha,91
2010,3,Baby Kumari,5289,4.30%,Indian National Congress,Bochaha,91
2010,4,Shivnath Chaudhary,3987,3.30%,Independent,Bochaha,91
2010,5,Shankar Manjhi,3703,3.00%,Independent,Bochaha,91
2010,6,Ram Nandan Paswan,2725,2.20%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Bochaha,91
2010,7,Shatrughan Paswan,1126,0.90%,Samajwadi Party,Bochaha,91
2010,8,Ravi Shankar Paswan,1099,0.90%,Loktantrik Sarvjan Samaj Party,Bochaha,91
2010,9,Ram Kumar Rajak,1067,0.90%,Smast Bhartiya Party,Bochaha,91
2010,10,Shiv Nath Paswan,952,0.80%,Nationalist Congress Party,Bochaha,91
2010,11,Mahendra Paswan,918,0.80%,Samajwadi Janata Party (RASHTRIYA),Bochaha,91
2010,12,Bindeshwar Paswan,848,0.70%,Janata Dal (Secular),Bochaha,91
2010,13,Rekha Kumari,521,0.40%,Bharatiya Jan Kranti Dal (Democratic),Bochaha,91
2010,14,Sahdeo Ram,462,0.40%,Bahujan Samaj Party,Bochaha,91
2010,1,Suresh Chanchal,55486,48.00%,Janata Dal (United),Sakra,92
2010,2,Lal Babu Ram,42441,36.70%,Rashtriya Janata Dal,Sakra,92
2010,3,Umesh Kumar Ram,6242,5.40%,Indian National Congress,Sakra,92
2010,4,Bilat Paswan,3065,2.70%,Independent,Sakra,92
2010,5,Abhay Kumar,2816,2.40%,Samajwadi Janata Party (RASHTRIYA),Sakra,92
2010,6,Ganaur Ram,2112,1.80%,Independent,Sakra,92
2010,7,Lakhindra Ram,1431,1.20%,Nationalist Congress Party,Sakra,92
2010,8,Rekha Devi,1131,1.00%,Samajwadi Party,Sakra,92
2010,9,Raj Kumar Chaudhary,859,0.70%,Bahujan Samaj Party,Sakra,92
2010,1,Manoj Kumar Singh,36757,28.30%,Janata Dal (United),Kurhani,93
2010,2,Bijendra Chaudhary,35187,27.10%,Lok Jan Shakti Party,Kurhani,93
2010,3,Shah Alam Shabboo,12083,9.30%,Independent,Kurhani,93
2010,4,Binod Chaudhary,9896,7.60%,Indian National Congress,Kurhani,93
2010,5,Basawan Prasad Bhagat,6812,5.20%,Independent,Kurhani,93
2010,6,Ram Pukar Sahni,5506,4.20%,Communist Party Of India (MARXIST),Kurhani,93
2010,7,Dina Nath Prasad Singh,2634,2.00%,Independent,Kurhani,93
2010,8,Saroj Kumar,2617,2.00%,Janvadi Party (Socialist),Kurhani,93
2010,9,Lal Babu Mahto,2419,1.90%,Socialist Unity Centre Of India (COMMUNIST),Kurhani,93
2010,10,Kalamudin,2008,1.60%,Bahujan Samaj Party,Kurhani,93
2010,11,Kumar Vijay,1721,1.30%,Samata Party,Kurhani,93
2010,12,Mohammad Basir,1500,1.20%,Independent,Kurhani,93
2010,13,Gauri Shankar Prasad Gupta,1467,1.10%,Independent,Kurhani,93
2010,14,Shivchandra Pandit,1403,1.10%,Independent,Kurhani,93
2010,15,Anant Sahani,1402,1.10%,Independent,Kurhani,93
2010,16,Pramod Kumar Sharma,1378,1.10%,Bajjikanchal Vikas Party,Kurhani,93
2010,17,Ram Briksh Pd. Singh,1338,1.00%,Bharatiya Jan Kranti Dal (Democratic),Kurhani,93
2010,18,Santosh Kumar,1263,1.00%,Independent,Kurhani,93
2010,19,Satish Kumar Singh,864,0.70%,Nationalist Congress Party,Kurhani,93
2010,20,Bhupendra Kumar,861,0.70%,Samajwadi Janata Party (RASHTRIYA),Kurhani,93
2010,21,Nagendra Sah,849,0.70%,Rashtriya Pragati Party,Kurhani,93
2010,1,Suresh Kumar Sharma,72301,59.40%,Bharatiya Janta Party,Muzaffarpur,94
2010,2,Mohhammad Jamal,25862,21.20%,Lok Jan Shakti Party,Muzaffarpur,94
2010,3,Vivek Kumar,10786,8.90%,Independent,Muzaffarpur,94
2010,4,Mayank Kumar,3683,3.00%,Indian National Congress,Muzaffarpur,94
2010,5,Suraj Kumar Singh,1305,1.10%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Muzaffarpur,94
2010,6,Raghunath Adig,1147,0.90%,Independent,Muzaffarpur,94
2010,7,Deva Nand Singh,960,0.80%,Independent,Muzaffarpur,94
2010,8,Bindeshwari Prasad Thakur,789,0.70%,Bahujan Samaj Party,Muzaffarpur,94
2010,9,Vivek Kumar,570,0.50%,Independent,Muzaffarpur,94
2010,10,Kishori Lal Agrawal,554,0.50%,Smast Bhartiya Party,Muzaffarpur,94
2010,11,Satish Kumar,540,0.40%,Nationalist Congress Party,Muzaffarpur,94
2010,12,Vinod Kumar Verma,477,0.40%,Samata Party,Muzaffarpur,94
2010,13,Ramdhani Mahto,461,0.40%,Independent,Muzaffarpur,94
2010,14,Sanjay Kumar,455,0.40%,Bharatiya Jan Kranti Dal (Democratic),Muzaffarpur,94
2010,15,Gargi Singh,403,0.30%,Independent,Muzaffarpur,94
2010,16,Kedar Nath Prasad,398,0.30%,Samajwadi Party,Muzaffarpur,94
2010,17,Baliram Prasad Shrivastava,395,0.30%,Loktantrik Samata Dal,Muzaffarpur,94
2010,18,Dhirendra Samsher,361,0.30%,Rashtra Sewa Dal,Muzaffarpur,94
2010,19,Jagnnth Sah,350,0.30%,Independent,Muzaffarpur,94
2010,1,Ajit Kumar,39648,31.80%,Janata Dal (United),Kanti,95
2010,2,Md. Israil,31233,25.00%,Rashtriya Janata Dal,Kanti,95
2010,3,Ashok Kumar Choudhary,29768,23.90%,Independent,Kanti,95
2010,4,Amardev Singh,3107,2.50%,Independent,Kanti,95
2010,5,Suresh Prasad Gupta,1913,1.50%,Samajwadi Party,Kanti,95
2010,6,Shahid Equbal,1831,1.50%,Indian National Congress,Kanti,95
2010,7,Kashi Nath Sahani,1773,1.40%,Socialist Unity Centre Of India (COMMUNIST),Kanti,95
2010,8,Abhay Shankar Thakur,1733,1.40%,Nationalist Congress Party,Kanti,95
2010,9,Taiyab Ali,1501,1.20%,Rashtriya Pragati Party,Kanti,95
2010,10,Ajay Shankar Sharma,1403,1.10%,Independent,Kanti,95
2010,11,Anwar Azad,1330,1.10%,Bahujan Samaj Party,Kanti,95
2010,12,Md. Habib,1247,1.00%,Independent,Kanti,95
2010,13,Chandrakanta Shahi,1157,0.90%,Independent,Kanti,95
2010,14,Arun Sah,1043,0.80%,Bharatiya Jan Kranti Dal (Democratic),Kanti,95
2010,15,Umesh Paswan,1040,0.80%,Independent,Kanti,95
2010,16,Syed Noushad Hashmi,809,0.70%,Samajwadi Janata Party (RASHTRIYA),Kanti,95
2010,17,Md. Naushad,635,0.50%,Loktantrik Sarvjan Samaj Party,Kanti,95
2010,18,Dinesh Kumar Singh,608,0.50%,Independent,Kanti,95
2010,19,Chandeshwar Rai,546,0.40%,Janata Dal (Secular),Kanti,95
2010,20,Devendra Rakesh,530,0.40%,Bajjikanchal Vikas Party,Kanti,95
2010,21,Munna Mahto,527,0.40%,Independent,Kanti,95
2010,22,Prem Kumar,523,0.40%,Rashtra Sewa Dal,Kanti,95
2010,23,Raju Thakur,447,0.40%,Independent,Kanti,95
2010,24,Md. Nasir,359,0.30%,Independent,Kanti,95
2010,1,Brij Kishor Singh,42783,38.00%,Rashtriya Janata Dal,Baruraj,96
2010,2,Nand Kumar Rai,28466,25.30%,Janata Dal (United),Baruraj,96
2010,3,Baldeo Mahto,14274,12.70%,Indian National Congress,Baruraj,96
2010,4,Ram Ekwal Roy,5841,5.20%,Independent,Baruraj,96
2010,5,Krishna Kumar Choudhry,5412,4.80%,Independent,Baruraj,96
2010,6,Kiran Devi,4161,3.70%,Shiv Sena,Baruraj,96
2010,7,Kedar Nath Gupta,2390,2.10%,Rashtriya Pragati Party,Baruraj,96
2010,8,Ranjan Kumar,2087,1.90%,Communist Party Of India,Baruraj,96
2010,9,Krishan Kumar,1744,1.60%,Independent,Baruraj,96
2010,10,Md. Razaullah,1572,1.40%,Samajwadi Janata Party (RASHTRIYA),Baruraj,96
2010,11,Rinku Rani,1088,1.00%,Bharatiya Ekta Dal,Baruraj,96
2010,12,Lalan Kumar,1018,0.90%,Bahujan Samaj Party,Baruraj,96
2010,13,Lakhan Lal Singh,1013,0.90%,Nationalist Congress Party,Baruraj,96
2010,14,Makeshwar Chaudhary,790,0.70%,Loktantrik Sarvjan Samaj Party,Baruraj,96
2010,1,Ashok Kumar Singh,53609,43.20%,Bharatiya Janta Party,Paroo,97
2010,2,Mithilesh Prasad Yadav,34582,27.90%,Rashtriya Janata Dal,Paroo,97
2010,3,Anunay Kumar Singh,11337,9.10%,Indian National Congress,Paroo,97
2010,4,Rameshwar Sah,4077,3.30%,Independent,Paroo,97
2010,5,Shankar Mahto,4058,3.30%,Bahujan Samaj Party,Paroo,97
2010,6,Balak Nath Sahni,2846,2.30%,Samajwadi Janata Party (RASHTRIYA),Paroo,97
2010,7,Sikandar Ram,2496,2.00%,Independent,Paroo,97
2010,8,Rakesh Thakur,2475,2.00%,Independent,Paroo,97
2010,9,Rambabu Chaudhary,2200,1.80%,Nationalist Congress Party,Paroo,97
2010,10,Kiran Devi,1716,1.40%,Independent,Paroo,97
2010,11,Yogendra Ram,1167,0.90%,Socialist Unity Centre Of India (COMMUNIST),Paroo,97
2010,12,Mohammad Sharif,1165,0.90%,Independent,Paroo,97
2010,13,Dharmnath Sah,826,0.70%,Janata Dal (Secular),Paroo,97
2010,14,Shankar Rai,565,0.50%,Bajjikanchal Vikas Party,Paroo,97
2010,15,Umashankar Singh,552,0.40%,Independent,Paroo,97
2010,16,Rajesh Rai,478,0.40%,Loktantrik Sarvjan Samaj Party,Paroo,97
2010,1,Raju Kumar Singh,46606,38.50%,Janata Dal (United),Sahebganj,98
2010,2,Ram Vichar Ray,41690,34.50%,Rashtriya Janata Dal,Sahebganj,98
2010,3,Mahachandra Prasad Singh,14020,11.60%,Indian National Congress,Sahebganj,98
2010,4,Nand Kishor Bhagat,3407,2.80%,Independent,Sahebganj,98
2010,5,Vinay Kumar,2073,1.70%,Independent,Sahebganj,98
2010,6,Amrita Singh,1840,1.50%,Nationalist Congress Party,Sahebganj,98
2010,7,Gaya Paswan,1713,1.40%,Independent,Sahebganj,98
2010,8,Ramesh Kumar Singh,1654,1.40%,Bahujan Samaj Party,Sahebganj,98
2010,9,Yadav Lal Patel,1494,1.20%,Socialist Unity Centre Of India (COMMUNIST),Sahebganj,98
2010,10,Md. Nabi Hassan,1375,1.10%,Independent,Sahebganj,98
2010,11,Mritunjay Suman,1256,1.00%,Samajwadi Party,Sahebganj,98
2010,12,Lalbabu Singh,1167,1.00%,Independent,Sahebganj,98
2010,13,Rupnath Ray,1106,0.90%,Loktantrik Sarvjan Samaj Party,Sahebganj,98
2010,14,Kedar Prasad Singh,877,0.70%,Independent,Sahebganj,98
2010,15,Upendra Kumar Singh,731,0.60%,Independent,Sahebganj,98
2010,1,Manjeet Kumar Singh,70105,55.90%,Janata Dal (United),Baikunthpur,99
2010,2,Devdatt Prasad,33581,26.80%,Rashtriya Janata Dal,Baikunthpur,99
2010,3,Krishna Bihari Prasad Yadav,3924,3.10%,Communist Party Of India,Baikunthpur,99
2010,4,Sangeeta Singh,3829,3.10%,Independent,Baikunthpur,99
2010,5,Anirudh Singh,2600,2.10%,Independent,Baikunthpur,99
2010,6,Manan Kumar Mishra,2377,1.90%,Indian National Congress,Baikunthpur,99
2010,7,Ranjeet Singh,1863,1.50%,Independent,Baikunthpur,99
2010,8,Mahamad Firoz,1798,1.40%,Rashtriya Jan-Jagram Morcha,Baikunthpur,99
2010,9,Mohan Mahato,1135,0.90%,Bharatiya Ekta Dal,Baikunthpur,99
2010,10,Mohan Prasad,1012,0.80%,Bahujan Samaj Party,Baikunthpur,99
2010,11,Adarsh Kumar,970,0.80%,Janvadi Party (Socialist),Baikunthpur,99
2010,12,Purnendu Narayan Tiwari Alias Bhola Tiwari,884,0.70%,Indian Justice Party,Baikunthpur,99
2010,13,Ravi Ranjan Kumar Yadav,723,0.60%,Samajwadi Party,Baikunthpur,99
2010,14,Yogendra Singh Yadav,533,0.40%,Loktantrik Samata Dal,Baikunthpur,99
2010,1,Ram Pravesh Rai,45234,39.40%,Bharatiya Janta Party,Barauli,100
2010,2,M.Nematullah,34820,30.30%,Rashtriya Janata Dal,Barauli,100
2010,3,Jitendra Prasad,10591,9.20%,Bahujan Samaj Party,Barauli,100
2010,4,Sumer Prasad,5657,4.90%,Independent,Barauli,100
2010,5,Asif Ghafoor,4768,4.20%,Indian National Congress,Barauli,100
2010,6,Dhruv Nath Chaudhary,2866,2.50%,Nationalist Congress Party,Barauli,100
2010,7,Renu Devi,2200,1.90%,Independent,Barauli,100
2010,8,Kalpanath Mahato,2095,1.80%,Janvadi Party (Socialist),Barauli,100
2010,9,Sarajuddin Ahamad,1510,1.30%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Barauli,100
2010,10,Mainuddin Ahmad,1230,1.10%,Independent,Barauli,100
2010,11,Ekramul Haque,1096,1.00%,Independent,Barauli,100
2010,12,Jai Nath Pd. Yadav,1067,0.90%,Janata Dal (Secular),Barauli,100
2010,13,Shiv Shankar Prasad Gupta,924,0.80%,Samajwadi Party,Barauli,100
2010,14,Z. Rahman,805,0.70%,Rashtriya Jan-Jagram Morcha,Barauli,100
2010,1,Subas Singh,58010,45.60%,Bharatiya Janta Party,Gopalganj,101
2010,2,"Reyazul Haque Alias ""raju""",42117,33.10%,Rashtriya Janata Dal,Gopalganj,101
2010,3,Anirudh Prasad Alias Sadhu Yadav,8488,6.70%,Indian National Congress,Gopalganj,101
2010,4,Shivjee Prasad,4025,3.20%,Bahujan Samaj Party,Gopalganj,101
2010,5,Shambhu Singh,3036,2.40%,Independent,Gopalganj,101
2010,6,Sikandar Ajam,2808,2.20%,Independent,Gopalganj,101
2010,7,Arun Singh,2726,2.10%,Rashtra Sewa Dal,Gopalganj,101
2010,8,Motilal Shah,1237,1.00%,Independent,Gopalganj,101
2010,9,Arun Kumar Prasad Gupta,1213,1.00%,Independent,Gopalganj,101
2010,10,Ram Surat Ram,1102,0.90%,Independent,Gopalganj,101
2010,11,Babu Husain,1086,0.90%,Rashtriya Jan-Jagram Morcha,Gopalganj,101
2010,12,Jag Narayan Singh,809,0.60%,Indian Justice Party,Gopalganj,101
2010,13,Pramod Kumar Singh,687,0.50%,Samajwadi Party,Gopalganj,101
2010,1,Amrendra Kumar Pandey,51815,40.90%,Janata Dal (United),Kuchaikote,102
2010,2,Aditya Narain Pandey,32297,25.50%,Rashtriya Janata Dal,Kuchaikote,102
2010,3,Umesh Pradhan,15615,12.30%,Independent,Kuchaikote,102
2010,4,Mahesh Rai,4924,3.90%,Indian National Congress,Kuchaikote,102
2010,5,Upendar Yadav,4793,3.80%,Bahujan Samaj Party,Kuchaikote,102
2010,6,Bachha Chaudhary,4487,3.50%,Independent,Kuchaikote,102
2010,7,Avadh Kishor Thakur,2638,2.10%,Nationalist Congress Party,Kuchaikote,102
2010,8,Sabir Hussain,2572,2.00%,Rashtriya Jan-Jagram Morcha,Kuchaikote,102
2010,9,Sharda Singh,2377,1.90%,Bharatiya Ekta Dal,Kuchaikote,102
2010,10,Chhagur Ram,1393,1.10%,Independent,Kuchaikote,102
2010,11,Umesh Dutta Tiwari,1216,1.00%,Independent,Kuchaikote,102
2010,12,Afreen Kalam Hasmi,1035,0.80%,Janata Dal (Secular),Kuchaikote,102
2010,13,Sanjiv Tiwari,808,0.60%,Indian Justice Party,Kuchaikote,102
2010,14,Engineer Prasad,669,0.50%,Samajwadi Party,Kuchaikote,102
2010,1,Idradeo Majhi,61401,51.30%,Bharatiya Janta Party,Bhorey,103
2010,2,Bachchan Das,17831,14.90%,Rashtriya Janata Dal,Bhorey,103
2010,3,Anil Kumar,14798,12.40%,Indian National Congress,Bhorey,103
2010,4,Jitendra Manghi,8800,7.40%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Bhorey,103
2010,5,Shiv Kali Devi,4000,3.30%,Independent,Bhorey,103
2010,6,Satyajit Kumar,3743,3.10%,Bahujan Samaj Party,Bhorey,103
2010,7,Vindhyachal Ram,2660,2.20%,Independent,Bhorey,103
2010,8,Puspa Devi,1898,1.60%,Independent,Bhorey,103
2010,9,Anil Kumar Ram,1587,1.30%,Rashtriya Jan-Jagram Morcha,Bhorey,103
2010,10,Binita Baitha,1409,1.20%,Independent,Bhorey,103
2010,11,Surendra Ram,895,0.80%,Nationalist Congress Party,Bhorey,103
2010,12,Digvijay Kumar,768,0.60%,Independent,Bhorey,103
2010,1,Ram Sewak Singh,50708,42.40%,Janata Dal (United),Hathua,104
2010,2,Rajesh Kumar Singh,27861,23.30%,Rashtriya Janata Dal,Hathua,104
2010,3,Babudin Khan,7929,6.60%,Indian National Congress,Hathua,104
2010,4,Krishna Sahi,6164,5.20%,Bahujan Samaj Party,Hathua,104
2010,5,Byas Yadav,4688,3.90%,Independent,Hathua,104
2010,6,Dudhnath Singh,3281,2.70%,Communist Party Of India (MARXIST),Hathua,104
2010,7,Chandra Mohan Ray,3109,2.60%,Independent,Hathua,104
2010,8,Shiv Shankar Rai,2912,2.40%,Nationalist Congress Party,Hathua,104
2010,9,Ram Darsan Prasad,2325,1.90%,Independent,Hathua,104
2010,10,Santraj Singh,2082,1.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Hathua,104
2010,11,Chumuk Manjhi,1613,1.40%,Independent,Hathua,104
2010,12,Maksudan Prasad Singh,1516,1.30%,Independent,Hathua,104
2010,13,Gireendra Kumar Ray,1243,1.00%,Bharatiya Ekta Dal,Hathua,104
2010,14,Sabib Alam,1112,0.90%,Independent,Hathua,104
2010,15,Surendra Ram,996,0.80%,Independent,Hathua,104
2010,16,Kashinath Singh,700,0.60%,Janata Dal (Secular),Hathua,104
2010,17,Ram Babu Prasad,695,0.60%,Indian Justice Party,Hathua,104
2010,18,Rajendra Rawat,670,0.60%,Samajwadi Party,Hathua,104
2010,1,Vyasdeo Prasad,51637,44.20%,Bharatiya Janta Party,Siwan,105
2010,2,Awadhvihari Chaudhry,39096,33.50%,Rashtriya Janata Dal,Siwan,105
2010,3,Naimuddin Ansari,4051,3.50%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Siwan,105
2010,4,Shahid Hussain,3391,2.90%,Bahujan Samaj Party,Siwan,105
2010,5,Bhim Prasad Yadav,2218,1.90%,Independent,Siwan,105
2010,6,Abdul Rijavan Ansari,1648,1.40%,Independent,Siwan,105
2010,7,Abhishek Kumar,1394,1.20%,Independent,Siwan,105
2010,8,Naresh Chand Yadav,1376,1.20%,Independent,Siwan,105
2010,9,Jaleshwar Bhagat,1268,1.10%,Independent,Siwan,105
2010,10,Vishwkarma Prasad Chauhan,1182,1.00%,Akhil Bharat Hindu Mahasabha,Siwan,105
2010,11,Dilip Kumar,1133,1.00%,Independent,Siwan,105
2010,12,Shreekant Jee,1126,1.00%,Indian National Congress,Siwan,105
2010,13,Safirul Haque,934,0.80%,Independent,Siwan,105
2010,14,Ajay Kumar,905,0.80%,Independent,Siwan,105
2010,15,Raj Kumar Sharma,869,0.70%,Independent,Siwan,105
2010,16,Sangita Sinha,778,0.70%,Independent,Siwan,105
2010,17,Izharul Haque,731,0.60%,Samajwadi Party,Siwan,105
2010,18,Jalaluddin Ahamad,719,0.60%,Independent,Siwan,105
2010,19,Mansur Alam,528,0.50%,Independent,Siwan,105
2010,20,Upendra Tiwari,473,0.40%,Loktantrik Sarvjan Samaj Party,Siwan,105
2010,21,Shambhoo Prasad,459,0.40%,Independent,Siwan,105
2010,22,Sanjeev Kumar,386,0.30%,Nationalist Congress Party,Siwan,105
2010,23,Shakuntala Devi,273,0.20%,Independent,Siwan,105
2010,24,Ali Akhatar,246,0.20%,Independent,Siwan,105
2010,1,Asha Devi,29442,27.30%,Bharatiya Janta Party,Ziradei,106
2010,2,Amarjeet Kushwaha,20522,19.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Ziradei,106
2010,3,Shiva Shankar Yadav,12555,11.60%,Rashtriya Janata Dal,Ziradei,106
2010,4,Rana Pratap Singh,8737,8.10%,Independent,Ziradei,106
2010,5,Sudhir Kumar Jaiswal,4407,4.10%,Independent,Ziradei,106
2010,6,Jugul Kishor Singh,2486,2.30%,Independent,Ziradei,106
2010,7,Nand Lal Yadav,2442,2.30%,Independent,Ziradei,106
2010,8,Vijay Kumar,2379,2.20%,Gondvana Gantantra Party,Ziradei,106
2010,9,Dr. Tribhuwan Singh,2253,2.10%,Independent,Ziradei,106
2010,10,Krishanchandra Singh,2113,2.00%,Independent,Ziradei,106
2010,11,Shahnavaj,1968,1.80%,Independent,Ziradei,106
2010,12,Parash Nath Pathak,1790,1.70%,Bahujan Samaj Party,Ziradei,106
2010,13,Jaynarayan Tiwari,1769,1.60%,Independent,Ziradei,106
2010,14,Jonha Devi,1767,1.60%,Independent,Ziradei,106
2010,15,Suresh Singh,1499,1.40%,Independent,Ziradei,106
2010,16,Binay Kumar Singh Bihari Bhaiya,1495,1.40%,Indian National Congress,Ziradei,106
2010,17,Sanjay Kumar Singh,1449,1.30%,Independent,Ziradei,106
2010,18,Rakesh Kumar Pandey,1305,1.20%,Bharat Vikas Morcha,Ziradei,106
2010,19,Shreeniwas Yadav,1067,1.00%,Independent,Ziradei,106
2010,20,Mahatma Singh,833,0.80%,Samajwadi Janata Party (RASHTRIYA),Ziradei,106
2010,21,Shiv Prasad Sharma,832,0.80%,Independent,Ziradei,106
2010,22,Bharat Bhagat,816,0.80%,Independent,Ziradei,106
2010,23,Arti Devi,784,0.70%,Samajwadi Party,Ziradei,106
2010,24,Dinesh Kumar Singh,708,0.70%,Nationalist Congress Party,Ziradei,106
2010,25,Satyendra,649,0.60%,Independent,Ziradei,106
2010,26,Om Prakash Singh,626,0.60%,Independent,Ziradei,106
2010,27,Manoj Kumar Singh,475,0.40%,Rashtra Sewa Dal,Ziradei,106
2010,28,Paramanand Gond,446,0.40%,Independent,Ziradei,106
2010,29,Bijay Prakash Srivastava,429,0.40%,Loktantrik Sarvjan Samaj Party,Ziradei,106
2010,1,Ramayan Manjhi,40993,35.00%,Bharatiya Janta Party,Darauli,107
2010,2,Satyadeo Ram,33987,29.00%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Darauli,107
2010,3,Sheo Kumar Manjhi,15697,13.40%,Lok Jan Shakti Party,Darauli,107
2010,4,Sumitra Devi,3356,2.90%,Indian National Congress,Darauli,107
2010,5,Madhuri Devi,3241,2.80%,Bharat Mangalam Parishad,Darauli,107
2010,6,Nand Ji Ram,3121,2.70%,Independent,Darauli,107
2010,7,Sharma Nand Ram,2571,2.20%,Bahujan Samaj Party,Darauli,107
2010,8,Sachidas Nand Sadhu,2514,2.20%,Independent,Darauli,107
2010,9,Raghunath Ram,2152,1.80%,Independent,Darauli,107
2010,10,Shri Shanker Choudhary,1959,1.70%,Independent,Darauli,107
2010,11,Ashok Kumar Prasad,1915,1.60%,Nationalist Congress Party,Darauli,107
2010,12,Ram Sakal Ram,1910,1.60%,Independent,Darauli,107
2010,13,Ram Pukar Harijan,1830,1.60%,Samajwadi Party,Darauli,107
2010,14,Ramjit Bharti,1781,1.50%,Independent,Darauli,107
2010,1,Vikram Kunwar,33474,32.30%,Bharatiya Janta Party,Raghunathpur,108
2010,2,Amar Nath Yadav,18362,17.70%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Raghunathpur,108
2010,3,Hamidraza Khan,15557,15.00%,Rashtriya Janata Dal,Raghunathpur,108
2010,4,Kamarulhak,11179,10.80%,Independent,Raghunathpur,108
2010,5,Anil Kumar Singh,6635,6.40%,Independent,Raghunathpur,108
2010,6,Dr. Chandrama Singh,3383,3.30%,Indian National Congress,Raghunathpur,108
2010,7,Md. Imran,3180,3.10%,Bahujan Samaj Party,Raghunathpur,108
2010,8,Vishwakarma Bhagat,3064,3.00%,Independent,Raghunathpur,108
2010,9,Munni Devi,1915,1.90%,Independent,Raghunathpur,108
2010,10,Rameshwar Singh,1884,1.80%,Independent,Raghunathpur,108
2010,11,Samrun Nisa,1484,1.40%,Nationalist Congress Party,Raghunathpur,108
2010,12,Dr. C.B Mishra,1221,1.20%,Samajwadi Party,Raghunathpur,108
2010,13,Tribhuwan Singh,1146,1.10%,Independent,Raghunathpur,108
2010,14,Kaushlendra Kumar Singh,1009,1.00%,Independent,Raghunathpur,108
2010,1,Jagmato Devi,49115,44.30%,Janata Dal (United),Daraundha,109
2010,2,Binod Kumar Singh,17980,16.20%,Rashtriya Janata Dal,Daraundha,109
2010,3,Vijay Shankar Dubey,8399,7.60%,Indian National Congress,Daraundha,109
2010,4,Jay Prakash Yadav,4067,3.70%,Independent,Daraundha,109
2010,5,Parmeshwer Singh,3930,3.50%,Independent,Daraundha,109
2010,6,Jawed Baig,3076,2.80%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),Daraundha,109
2010,7,Kawal Yadav,2745,2.50%,Independent,Daraundha,109
2010,8,Vrijesh Kumar Ray,2547,2.30%,Independent,Daraundha,109
